"vuln_name"	"vuln_full_desc"	"vuln_repair_advice"
"Xor家族僵尸[原理扫描]"	"僵尸网络指黑客利用沦陷的机器(称为肉鸡或僵尸电脑)组织成一个个控制节点，然后通过控制服务器对各分布式节点操控，组成一个僵尸网络，发送伪造数据包或垃圾数据包，使预定攻击目标瘫痪并拒绝服务，有的Bot还会窃取受害组织的情报数据，并长期潜伏达数年。Xor家族是近年来攻击态势非常活跃的DDos僵尸网络家族。它能够对目标发起强有力的DDoS攻击，可以达到每秒1500亿字节的恶意流量。"	"使用最新版本的流行杀毒软件来清除此僵尸程序；或者重新安装系统"
"Sotdas家族僵尸[原理扫描]"	"僵尸网络指黑客利用沦陷的机器(称为肉鸡或僵尸电脑)组织成一个个控制节点，然后通过控制服务器对各分布式节点操控，组成一个僵尸网络，发送伪造数据包或垃圾数据包，使预定攻击目标瘫痪并拒绝服务，有的Bot还会窃取受害组织的情报数据，并长期潜伏达数年。Sotdas家族是在2015年被广泛应用的僵尸网络家族，攻击流量大,损害性巨大。并且该僵尸程序在感染IoT或者服务器设备后，会关闭设备的防火墙，对机器本身的安全造成了极大的破坏。"	"使用最新版本的流行杀毒软件来清除此僵尸程序；或者重新安装系统"
"Setag家族僵尸[原理扫描]"	"僵尸网络指黑客利用沦陷的机器(称为肉鸡或僵尸电脑)组织成一个个控制节点，然后通过控制服务器对各分布式节点操控，组成一个僵尸网络，发送伪造数据包或垃圾数据包，使预定攻击目标瘫痪并拒绝服务，有的Bot还会窃取受害组织的情报数据，并长期潜伏达数年。"	"使用最新版本的流行杀毒软件来清除此僵尸程序；或者重新安装系统"
"Redosdru 家族僵尸[原理扫描]"	"僵尸网络指黑客利用沦陷的机器(称为肉鸡或僵尸电脑)组织成一个个控制节点，然后通过控制服务器对各分布式节点操控，组成一个僵尸网络，发送伪造数据包或垃圾数据包，使预定攻击目标瘫痪并拒绝服务，有的Bot还会窃取受害组织的情报数据，并长期潜伏达数年。Redosdru 家族攻击模式主要有tcp，udp和http攻击。"	"使用最新版本的流行杀毒软件来清除此僵尸程序；或者重新安装系统"
"Palevo家族僵尸[原理扫描]"	"僵尸网络指黑客利用沦陷的机器(称为肉鸡或僵尸电脑)组织成一个个控制节点，然后通过控制服务器对各分布式节点操控，组成一个僵尸网络，发送伪造数据包或垃圾数据包，使预定攻击目标瘫痪并拒绝服务，有的Bot还会窃取受害组织的情报数据，并长期潜伏达数年。Palevo家族是近年来比较活跃的windows平台的僵尸网络家族。"	"使用最新版本的流行杀毒软件来清除此僵尸程序；或者重新安装系统"
"Nitol家族僵尸[原理扫描]"	"僵尸网络指黑客利用沦陷的机器(称为肉鸡或僵尸电脑)组织成一个个控制节点，然后通过控制服务器对各分布式节点操控，组成一个僵尸网络，发送伪造数据包或垃圾数据包，使预定攻击目标瘫痪并拒绝服务，有的Bot还会窃取受害组织的情报数据，并长期潜伏达数年。Nitol家族攻击模式跟大部分的DDoS程序几乎一致，主要有tcp_flood,udp_flood,http_flood等。"	"使用最新版本的流行杀毒软件来清除此僵尸程序；或者重新安装系统"
"Mayday家族僵尸[原理扫描]"	"僵尸网络指黑客利用沦陷的机器(称为肉鸡或僵尸电脑)组织成一个个控制节点，然后通过控制服务器对各分布式节点操控，组成一个僵尸网络，发送伪造数据包或垃圾数据包，使预定攻击目标瘫痪并拒绝服务，有的Bot还会窃取受害组织的情报数据，并长期潜伏达数年。Mayday家族最早被发现是在2008年2月，部分Mayday僵尸程序也是Setag家族的变种。"	"使用最新版本的流行杀毒软件来清除此僵尸程序；或者重新安装系统"
"Lapka家族僵尸[原理扫描]"	"僵尸网络指黑客利用沦陷的机器(称为肉鸡或僵尸电脑)组织成一个个控制节点，然后通过控制服务器对各分布式节点操控，组成一个僵尸网络，发送伪造数据包或垃圾数据包，使预定攻击目标瘫痪并拒绝服务，有的Bot还会窃取受害组织的情报数据，并长期潜伏达数年。Lapka家族的样本，在入侵客户机器后，会利用机器资源，进行DDos攻击。基本的攻击模式有syn、tcp、udp、icmp等基本攻击手法。"	"使用最新版本的流行杀毒软件来清除此僵尸程序；或者重新安装系统"
"Jenki家族僵尸[原理扫描]"	"僵尸网络指黑客利用沦陷的机器(称为肉鸡或僵尸电脑)组织成一个个控制节点，然后通过控制服务器对各分布式节点操控，组成一个僵尸网络，发送伪造数据包或垃圾数据包，使预定攻击目标瘫痪并拒绝服务，有的Bot还会窃取受害组织的情报数据，并长期潜伏达数年。Jenki家族在2017年被发现，通过billgates僵尸网络进行传播扩散，建立新的DDos僵尸网络。。"	"使用最新版本的流行杀毒软件来清除此僵尸程序；或者重新安装系统"
"Gafgyt家族僵尸[原理扫描]"	"僵尸网络指黑客利用沦陷的机器(称为肉鸡或僵尸电脑)组织成一个个控制节点，然后通过控制服务器对各分布式节点操控，组成一个僵尸网络，发送伪造数据包或垃圾数据包，使预定攻击目标瘫痪并拒绝服务，有的Bot还会窃取受害组织的情报数据，并长期潜伏达数年。"	"使用最新版本的流行杀毒软件来清除此僵尸程序；或者重新安装系统"
